municipio_id,ibi_urbana_rd_20_2011,year
9316,2012,0.5
9317,2012,0.5
9318,2012,0.4
9321,2012,0.5194
9323,2012,0.5
9325,2012,0.5
9326,2012,0.42
9327,2012,0.5
9328,2012,0.5
9329,2012,0.6
9330,2012,0.5
9332,2012,0.5
9334,2012,0.56
9335,2012,0.5
9337,2012,0.935
9338,2012,0.45
9339,2012,0.65
9340,2012,0.616
9343,2012,0.715
9345,2012,0.5
9347,2012,0.5
9350,2012,0
9351,2012,0.616
9352,2012,0.5
9353,2012,0.61
9354,2012,0.616
9355,2012,0.6
9356,2012,0.5
9358,2012,0.65
9360,2012,0.5
9361,2012,0.5
9362,2012,0.1
9363,2012,0.55
9365,2012,0.715
9366,2012,0.56
9368,2012,0.5
9369,2012,0.77
9372,2012,0.5
